        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)        P(4d-)        Q(4d-)         P(4d)         Q(4d)         P(5s)         Q(5s)        P(5p-)        Q(5p-)         P(5p)         Q(5p)
  1.289514E-07  1.556368E-04 -3.511911E-08  5.412984E-05 -1.223224E-08  2.173743E-09  9.142388E-06  8.086824E-11 -1.096386E-14  2.440120E-05 -5.515365E-09  1.024355E-09  4.307416E-06  3.849635E-11 -5.220220E-15  2.937517E-16  2.058916E-12  1.304337E-17 -1.263384E-21  1.122902E-05 -2.538193E-09  4.563345E-10  1.918812E-06  1.710259E-11 -2.319252E-15  1.229015E-16  8.613958E-13  5.446409E-18 -5.275566E-22  4.494105E-06 -1.015851E-09  1.629749E-10  6.852782E-07  6.032025E-12 -8.179978E-16
  1.374619E-07  1.659084E-04 -3.990679E-08  5.770225E-05 -1.389983E-08  2.470083E-09  9.745758E-06  9.189460E-11 -1.328102E-14  2.601160E-05 -6.267258E-09  1.164003E-09  4.591693E-06  4.374531E-11 -6.323489E-15  3.558347E-16  2.339648E-12  1.580002E-17 -1.631399E-21  1.197010E-05 -2.884218E-09  5.185452E-10  2.045448E-06  1.943452E-11 -2.809415E-15  1.488762E-16  9.788468E-13  6.597482E-18 -6.812303E-22  4.790703E-06 -1.154339E-09  1.851928E-10  7.305046E-07  6.854490E-12 -9.908778E-16
  1.464086E-07  1.767066E-04 -4.526978E-08  6.145782E-05 -1.576780E-08  2.802032E-09  1.038006E-05  1.042459E-10 -1.604665E-14  2.770457E-05 -7.109503E-09  1.320431E-09  4.890544E-06  4.962497E-11 -7.640288E-15  4.299335E-16  2.654113E-12  1.909022E-17 -2.099410E-21  1.274918E-05 -3.271822E-09  5.882315E-10  2.178577E-06  2.204665E-11 -3.394446E-15  1.798781E-16  1.110410E-12  7.971342E-18 -8.766596E-22  5.102507E-06 -1.309468E-09  2.100805E-10  7.780497E-07  7.775780E-12 -1.197218E-15
  1.558141E-07  1.880584E-04 -5.127229E-08  6.540594E-05 -1.785851E-08  3.173565E-09  1.104689E-05  1.180698E-10 -1.934213E-14  2.948435E-05 -8.052181E-09  1.495512E-09  5.204719E-06  5.620570E-11 -9.209368E-15  5.182286E-16  3.006072E-12  2.301076E-17 -2.693133E-21  1.356820E-05 -3.705646E-09  6.662275E-10  2.318531E-06  2.497024E-11 -4.091560E-15  2.168195E-16  1.257661E-12  9.608412E-18 -1.124583E-21  5.430298E-06 -1.483096E-09  2.379359E-10  8.280325E-07  8.806920E-12 -1.443089E-15
  1.657018E-07  1.999923E-04 -5.798542E-08  6.955649E-05 -2.019675E-08  3.589083E-09  1.174791E-05  1.335303E-10 -2.326299E-14  3.135537E-05 -9.106460E-09  1.691321E-09  5.535001E-06  6.356547E-11 -1.107621E-14  6.232791E-16  3.399698E-12  2.767530E-17 -3.444604E-21  1.442921E-05 -4.190830E-09  7.534573E-10  2.465661E-06  2.823993E-11 -4.920964E-15  2.607711E-16  1.422344E-12  1.155614E-17 -1.438378E-21  5.774895E-06 -1.677279E-09  2.690890E-10  8.805780E-07  9.960128E-12 -1.735619E-15
  1.760964E-07  2.125380E-04 -6.548797E-08  7.391983E-05 -2.280994E-08  4.053463E-09  1.248487E-05  1.508087E-10 -2.792129E-14  3.332233E-05 -1.028472E-08  1.910155E-09  5.882217E-06  7.179067E-11 -1.329416E-14  7.480878E-16  3.839609E-12  3.321716E-17 -4.393724E-21  1.533437E-05 -4.733068E-09  8.509448E-10  2.620335E-06  3.189410E-11 -5.906363E-15  3.129893E-16  1.606391E-12  1.387021E-17 -1.834706E-21  6.137160E-06 -1.894297E-09  3.039056E-10  9.358175E-07  1.124894E-11 -2.083168E-15
  1.870240E-07  2.257269E-04 -7.386725E-08  7.850689E-05 -2.572850E-08  4.572109E-09  1.325961E-05  1.701062E-10 -3.344844E-14  3.539013E-05 -1.160066E-08  2.154562E-09  6.247235E-06  8.097699E-11 -1.592581E-14  8.961753E-16  4.330925E-12  3.979266E-17 -5.590105E-21  1.628594E-05 -5.338671E-09  9.598244E-10  2.782938E-06  3.597526E-11 -7.075556E-15  3.749470E-16  1.811944E-12  1.661589E-17 -2.334284E-21  6.517999E-06 -2.136675E-09  3.427908E-10  9.938892E-07  1.268835E-11 -2.495541E-15
  1.985118E-07  2.395921E-04 -8.321994E-08  8.332914E-05 -2.898611E-08  5.151006E-09  1.407407E-05  1.916454E-10 -3.999845E-14  3.756395E-05 -1.306948E-08  2.427362E-09  6.630969E-06  9.123045E-11 -1.904446E-14  1.071668E-15  4.879315E-12  4.758502E-17 -7.095391E-21  1.728629E-05 -6.014626E-09  1.081352E-09  2.953879E-06  4.053052E-11 -8.461118E-15  4.483706E-16  2.041376E-12  1.986968E-17 -2.962852E-21  6.918364E-06 -2.407210E-09  3.861932E-10  1.054938E-06  1.429498E-11 -2.984228E-15
  2.105887E-07  2.541681E-04 -9.365314E-08  8.839863E-05 -3.262008E-08  5.796783E-09  1.493030E-05  2.156729E-10 -4.775171E-14  3.984922E-05 -1.470798E-08  2.731678E-09  7.034376E-06  1.026685E-10 -2.273602E-14  1.279399E-15  5.491059E-12  5.680887E-17 -8.986090E-21  1.833794E-05 -6.768674E-09  1.216921E-09  3.133584E-06  4.561203E-11 -1.010121E-14  5.352823E-16  2.297314E-12  2.372120E-17 -3.752359E-21  7.339255E-06 -2.709000E-09  4.346099E-10  1.119118E-06  1.608721E-11 -3.562688E-15
  2.232847E-07  2.694915E-04 -1.052855E-07  9.372803E-05 -3.667170E-08  6.516781E-09  1.583042E-05  2.424619E-10 -5.691946E-14  4.225166E-05 -1.653481E-08  3.070970E-09  7.458467E-06  1.154211E-10 -2.710106E-14  1.525028E-15  6.173111E-12  6.771550E-17 -1.135708E-20  1.944350E-05 -7.609387E-09  1.368070E-09  3.322502E-06  5.127756E-11 -1.204052E-14  6.380500E-16  2.582666E-12  2.827539E-17 -4.742423E-21  7.781727E-06 -3.045475E-09  4.885912E-10  1.186587E-06  1.808542E-11 -4.246681E-15
  2.366317E-07  2.856005E-04 -1.182482E-07  9.933068E-05 -4.118673E-08  7.319128E-09  1.677669E-05  2.723149E-10 -6.774893E-14  4.477728E-05 -1.857058E-08  3.449068E-09  7.904301E-06  1.296322E-10 -3.225730E-14  1.815179E-15  6.933171E-12  8.059904E-17 -1.432591E-20  2.060575E-05 -8.546256E-09  1.536507E-09  3.521107E-06  5.759108E-11 -1.433135E-14  7.594452E-16  2.900655E-12  3.365506E-17 -5.982131E-21  8.246884E-06 -3.420434E-09  5.487467E-10  1.257516E-06  2.031218E-11 -5.054652E-15
  2.506630E-07  3.025354E-04 -1.326869E-07  1.052206E-04 -4.621580E-08  8.212825E-09  1.777148E-05  3.055667E-10 -8.052936E-14  4.743239E-05 -2.083813E-08  3.870215E-09  8.372994E-06  1.454613E-10 -3.834244E-14  2.157602E-15  7.779766E-12  9.580359E-17 -1.803812E-20  2.182759E-05 -9.589791E-09  1.724121E-09  3.729894E-06  6.462340E-11 -1.703487E-14  9.027099E-16  3.254848E-12  4.000390E-17 -7.532255E-21  8.735890E-06 -3.838084E-09  6.157510E-10  1.332082E-06  2.279246E-11 -6.008182E-15
