        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  2.485526E-07  1.292738E-04 -4.332409E-08  4.168606E-05 -1.398165E-08  1.582965E-09  4.420260E-06  8.771888E-11 -1.765204E-14  1.728909E-05 -5.799428E-09  6.683206E-10  1.866044E-06  3.713801E-11 -7.474142E-15  2.285628E-16  1.063682E-12  1.375211E-17 -1.976911E-21  6.824795E-06 -2.289340E-09  2.402189E-10  6.707155E-07  1.329954E-11 -2.676614E-15
  2.641446E-07  1.373832E-04 -4.892965E-08  4.430107E-05 -1.579069E-08  1.787779E-09  4.697547E-06  9.906945E-11 -2.118678E-14  1.837366E-05 -6.549797E-09  7.547924E-10  1.983103E-06  4.194356E-11 -8.970801E-15  2.743314E-16  1.201320E-12  1.650591E-17 -2.521625E-21  7.252921E-06 -2.585550E-09  2.713001E-10  7.127901E-07  1.502047E-11 -3.212592E-15
  2.805360E-07  1.459085E-04 -5.519025E-08  4.705015E-05 -1.781112E-08  2.016528E-09  4.989052E-06  1.117464E-10 -2.538079E-14  1.951382E-05 -7.387852E-09  8.513690E-10  2.106164E-06  4.731065E-11 -1.074661E-14  3.286366E-16  1.355040E-12  1.977334E-17 -3.208246E-21  7.702997E-06 -2.916375E-09  3.060132E-10  7.570220E-07  1.694248E-11 -3.848539E-15
  2.977678E-07  1.548708E-04 -6.217815E-08  4.994018E-05 -2.006627E-08  2.271850E-09  5.295501E-06  1.258959E-10 -3.035095E-14  2.071245E-05 -8.323262E-09  9.591648E-10  2.235534E-06  5.330122E-11 -1.285105E-14  3.929914E-16  1.526618E-12  2.364544E-17 -4.072151E-21  8.176150E-06 -3.285630E-09  3.447590E-10  8.035217E-07  1.908777E-11 -4.602174E-15
  3.158830E-07  1.642927E-04 -6.997335E-08  5.297839E-05 -2.258196E-08  2.556669E-09  5.617663E-06  1.416801E-10 -3.623414E-14  2.197253E-05 -9.366740E-09  1.079414E-09  2.371537E-06  5.998386E-11 -1.534208E-14  4.691684E-16  1.718018E-12  2.822885E-17 -5.157250E-21  8.673561E-06 -3.697546E-09  3.879811E-10  8.524054E-07  2.148090E-11 -5.494254E-15
  3.349271E-07  1.741976E-04 -7.866447E-08  5.617236E-05 -2.538678E-08  2.874223E-09  5.956343E-06  1.592784E-10 -4.319065E-14  2.329722E-05 -1.053015E-08  1.213484E-09  2.514513E-06  6.743453E-11 -1.828757E-14  5.592429E-16  1.931415E-12  3.364846E-17 -6.517993E-21  9.196476E-06 -4.156804E-09  4.361707E-10  9.037955E-07  2.414907E-11 -6.549083E-15
  3.549476E-07  1.846104E-04 -8.834963E-08  5.953010E-05 -2.851240E-08  3.228097E-09  6.312386E-06  1.788894E-10 -5.140807E-14  2.468982E-05 -1.182662E-08  1.362888E-09  2.664819E-06  7.573737E-11 -2.176695E-14  6.656440E-16  2.169219E-12  4.005041E-17 -8.221847E-21  9.746200E-06 -4.668589E-09  4.898720E-10  9.578204E-07  2.712241E-11 -7.795106E-15
  3.759945E-07  1.955570E-04 -9.913748E-08  6.305999E-05 -3.199387E-08  3.622261E-09  6.686685E-06  2.007332E-10 -6.110587E-14  2.615383E-05 -1.327069E-08  1.529302E-09  2.822832E-06  8.498549E-11 -2.587315E-14  7.912135E-16  2.434098E-12  4.760569E-17 -1.035234E-20  1.032411E-05 -5.238643E-09  5.496874E-10  1.014615E-06  3.043427E-11 -9.265603E-15
  3.981206E-07  2.070649E-04 -1.111483E-07  6.677086E-05 -3.587003E-08  4.061109E-09  7.080174E-06  2.250533E-10 -7.254074E-14  2.769289E-05 -1.487848E-08  1.714582E-09  2.988946E-06  9.528202E-11 -3.071485E-14  9.392750E-16  2.729005E-12  5.651427E-17 -1.301279E-20  1.093165E-05 -5.873320E-09  6.162837E-10  1.074322E-06  3.412158E-11 -1.099949E-14
  4.213810E-07  2.191628E-04 -1.245152E-07  7.067199E-05 -4.018383E-08  4.549507E-09  7.493838E-06  2.521193E-10 -8.601275E-14  2.931087E-05 -1.666780E-08  1.920781E-09  3.163577E-06  1.067411E-10 -3.641910E-14  1.113714E-15  3.057208E-12  6.700995E-17 -1.633096E-20  1.157034E-05 -6.579658E-09  6.903992E-10  1.137090E-06  3.822521E-11 -1.304228E-14
